MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
13082855,2013,Sep,5,Fire,AUTO - Auto Fire,B4,AFD,00-3602,2F,Left Blank,-,"(30128259, 97800543)"
13082866,2013,Sep,5,Fire,AUTO - Auto Fire,B5,AFD,00-0502,2F,Code 3,-,"(30279019, 97701715)"
13082867,2013,Sep,5,Fire,ELEC - Electrical Fire,B1,AFD,00-0301,3F,Code 3,-,"(30290668, 97744425)"
13082886,2013,Sep,5,Fire,AUTO - Auto Fire,B3,AFD,00-0806,2F,Code 3,-,"(30390901, 97721851)"
13082914,2013,Sep,5,Fire,ELEC - Electrical Fire,B4,AFD,00-2904,3F,Code 1,-,"(30157855, 97831165)"
13082974,2013,Sep,6,Fire,TRASH - Trash Fire,B2,AFD,00-2101,3F,Code 3,-,"(30362652, 97760613)"
13085446,2013,Sep,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-0503,3F,Code 3,-,"(30290066, 97679923)"
13085447,2013,Sep,13,Fire,BRSHL - Brush Alarm / Light,B3,AFD,00-2608,2F,Code 3,-,"(30317139, 97658552)"
13085488,2013,Sep,13,Fire,DUMP - Dumpster Fire,B3,AFD,00-3001,3F,Code 3,-,"(30381224, 97713473)"
13083148,2013,Sep,6,Fire,ELEC - Electrical Fire,B3,AFD,00-1802,3F,Code 3,-,"(30300308, 97683658)"
13083220,2013,Sep,6,Fire,GRASS - Small Grass Fire,B4,AFD,00-2702,3F,Code 3,-,"(30234416, 97826055)"
13083300,2013,Sep,6,Fire,AUTO - Auto Fire,B4,AFD,00-1704,2F,Code 3,-,"(30238036, 97820886)"
13083386,2013,Sep,7,Fire,DUMP - Dumpster Fire,B3,AFD,00-0801,3F,Code 3,-,"(30373433, 97712502)"
13083433,2013,Sep,7,Fire,ELEC - Electrical Fire,B1,AFD,00-0102,3F,Code 3,-,"(30266226, 97747304)"
13083478,2013,Sep,7,Fire,ELEC - Electrical Fire,B2,AFD,00-4504,3F,Code 3,-,"(30501702, 97788945)"
13083508,2013,Sep,7,Fire,ELEC - Electrical Fire,B5,AFD,00-0501,3F,Code 3,-,"(30279067, 97676178)"
13083515,2013,Sep,7,Fire,GRASS - Small Grass Fire,B3,AFD,00-2305,3F,Code 3,-,"(30345483, 97696274)"
13083516,2013,Sep,7,Fire,GRASS - Small Grass Fire,B1,AFD,00-0201,3F,Code 3,-,"(30284346, 97726401)"
13083523,2013,Sep,7,Fire,GRASS - Small Grass Fire,B1,AFD,00-1002,3F,Code 3,-,"(30297753, 97758587)"
13083623,2013,Sep,7,Fire,AUTO - Auto Fire,B5,AFD,00-3502,2F,Code 3,-,"(30224767, 97746064)"
13083624,2013,Sep,7,Fire,GRASS - Small Grass Fire,B5,AFD,00-3502,3F,Code 3,-,"(30222316, 97742147)"
13083657,2013,Sep,7,Fire,TRASH - Trash Fire,B5,AFD,00-2203,3F,Code 3,-,"(30236397, 97717957)"
13083670,2013,Sep,7,Fire,ELEC - Electrical Fire,B2,AFD,00-4504,3F,Code 3,-,"(30497115, 97778748)"
13083939,2013,Sep,8,Fire,BBQ - Unsafe Cooking,B1,AFD,00-0301,4F,Code 1,-,"(30296823, 97745027)"
13085775,2013,Sep,14,Fire,GRASS - Small Grass Fire,B3,AFD,00-3005,3F,Code 3,-,"(30368205, 97689251)"
13094868,2013,Oct,11,Fire,ELEC - Electrical Fire,B4,AFD,00-3604,3F,Code 3,-,"(30160294, 97789771)"
13085857,2013,Sep,14,Fire,BBQ - Unsafe Cooking,B5,AFD,00-3503,4F,Code 1,-,"(30224966, 97724988)"
13085864,2013,Sep,14,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2303,4F,Code 1,-,"(30329801, 97676213)"
