tweet_id,handle,retweet_count,text,mined_at,created_at
1227295068467404800,Donald J. Trump,25301,RT @realDonaldTrump: “A lot of people feel defeated...Trump always wins. It seems like nothing can stop him.” Danny Villazon  @nytimes @Dan…,2020-02-12 14:18:37.532163,Tue Feb 11 18:15:21 +0000 2020
1227294950267682818,Donald J. Trump,20052,"RT @realDonaldTrump: THANK YOU NEW HAMPSHIRE! 
https://t.co/dvZq0UPjHI",2020-02-12 14:18:37.532166,Tue Feb 11 18:14:52 +0000 2020
1227294838778888194,Donald J. Trump,58240,RT @realDonaldTrump: TOUGH GUYS FOR TRUMP! https://t.co/DbjZjGzLWU,2020-02-12 14:18:37.532168,Tue Feb 11 18:14:26 +0000 2020
1227294418010542080,Donald J. Trump,32960,RT @realDonaldTrump: BEST USA ECONOMY IN HISTORY!,2020-02-12 14:18:37.532169,Tue Feb 11 18:12:45 +0000 2020
1227271072535498754,Donald J. Trump,16892,"When Jerome Powell started his testimony today, the Dow was up 125, &amp; heading higher. As he spoke it drifted steadi… https://t.co/XszhPRol4q",2020-02-12 14:18:37.532171,Tue Feb 11 16:39:59 +0000 2020
1227261625167732736,Donald J. Trump,16078,Mini Mike is a short ball (very) hitter. Tiny club head speed. KEEP AMERICA GREAT! https://t.co/5DUj16jtZf,2020-02-12 14:18:37.532173,Tue Feb 11 16:02:27 +0000 2020
1227258461106425857,Donald J. Trump,22059,"New Stock Market RECORD. Congratulations, spend your money wisely. KEEP AMERICA GREAT!!!!!",2020-02-12 14:18:37.532175,Tue Feb 11 15:49:53 +0000 2020
1227226643976065024,Donald J. Trump,17474,Great being in New Hampshire last night. I would say that was the biggest political Rally in New Hampshire history. Incredible evening!,2020-02-12 14:18:37.532177,Tue Feb 11 13:43:27 +0000 2020
1227224631754489857,Donald J. Trump,32960,BEST USA ECONOMY IN HISTORY!,2020-02-12 14:18:37.532178,Tue Feb 11 13:35:27 +0000 2020
1227122206783811585,Donald J. Trump,27183,"This is a horrible and very unfair situation. The real crimes were on the other side, as nothing happens to them. C… https://t.co/as5QvEacVs",2020-02-12 14:18:37.532183,Tue Feb 11 06:48:27 +0000 2020
1227119436647321600,Donald J. Trump,6055,RT @ChuckRossDC: Prosecutors disregard gov't witness Randy Credico's plea for no jail time for Stone on the grounds that he didn't take Sto…,2020-02-12 14:18:37.532185,Tue Feb 11 06:37:27 +0000 2020
1227118834534014979,Donald J. Trump,8279,RT @ChuckRossDC: A *9 year* prison recommendation for non-violent crimes committed by a 67-year-old man. https://t.co/9w7IUa2f09,2020-02-12 14:18:37.532187,Tue Feb 11 06:35:03 +0000 2020
1227118087775846401,Donald J. Trump,14245,Just returned to White House from Dover. Very sad! https://t.co/0Ld0gzXdLe,2020-02-12 14:18:37.532190,Tue Feb 11 06:32:05 +0000 2020
1227115435746897920,Donald J. Trump,9464,Nice conflict. Brown dropped out of presidential race FAST. Polled at ZERO! https://t.co/AwyxoJ8IKI,2020-02-12 14:18:37.532192,Tue Feb 11 06:21:33 +0000 2020
1227114684261765121,Donald J. Trump,8561,"RT @paulsperry_: BREAKING: Like the Steele Dossier, the 'Black Ledger' Pushed by anti-Trump Ukraine Operatives Was a 'Fabrication'

“The [b…",2020-02-12 14:18:37.532194,Tue Feb 11 06:18:34 +0000 2020
1227114586324832261,Donald J. Trump,8211,"RT @paulsperry_: ""If we ever find out that there was a group of people within the government that were working together to craft something…",2020-02-12 14:18:37.532196,Tue Feb 11 06:18:10 +0000 2020
1227114430925852672,Donald J. Trump,9272,RT @paulsperry_: BREAKING: FBI Director Wray is initiating FISA-reform training but only at FBI field offices -- even though the illegal FI…,2020-02-12 14:18:37.532198,Tue Feb 11 06:17:33 +0000 2020
1227114370724958208,Donald J. Trump,9910,RT @paulsperry_: BREAKING: Dana Boente was the hi-ranking DOJ official held over from the Obama admin who signed off on the now-invalid 3rd…,2020-02-12 14:18:37.532200,Tue Feb 11 06:17:19 +0000 2020
1227114274386063360,Donald J. Trump,12057,RT @paulsperry_: BREAKING:Gabriel Sanz-Rexach is Obama official who was the FISA gatekeeper at DOJ in 2016 when the illegal warrant to spy…,2020-02-12 14:18:37.532203,Tue Feb 11 06:16:56 +0000 2020
1227114075911532544,Donald J. Trump,7640,"RT @josepheschmitz: President Trump should sue Rep. Adam Schiff and his co-conspirators, including the so-called ""whistleblower"" and the in…",2020-02-12 14:18:37.532205,Tue Feb 11 06:16:09 +0000 2020
1227113644456108032,Donald J. Trump,6154,"RT @paulsperry_: BREAKING: How ‘Whistleblower’ Doomed Impeachment Case From Start
https://t.co/K1o9bxiKXA",2020-02-12 14:18:37.532207,Tue Feb 11 06:14:26 +0000 2020
1227109357726445568,Donald J. Trump,12844,Disgraceful! https://t.co/nNXEjJuVyw,2020-02-12 14:18:37.532209,Tue Feb 11 05:57:24 +0000 2020
1227108771740180480,Donald J. Trump,12248,Should never happen to another President! https://t.co/Y2X6yopeU7,2020-02-12 14:18:37.532212,Tue Feb 11 05:55:04 +0000 2020
