Name,Position,Salary
Ishmael Smith,Point Guard,6000000
Jaren Jackson Jr.,Power Forward,5915040
Brandon Ingram,Small Forward,5757120
Anthony Tolliver,Power Forward,5750000
Kristaps Porzingis,Power Forward,5697054
De'Aaron Fox,Point Guard,5470920
Patrick Patterson,Power Forward,5451600
Marcus Morris,Power Forward,5375000
Trae Young,Point Guard,5356440
DeMarcus Cousins,Center,5337000
Dwight Howard,Center,5337000
Thabo Sefolosha,Small Forward,5250000
Aron Baynes,Center,5193600
Jaylen Brown,Shooting Guard,5169960
Patrick Beverley,Point Guard,5027027
Mike Muscala,Power Forward,5000000
Tony Parker,Point Guard,5000000
Dirk Nowitzki,Power Forward,5000000
Jonathan Isaac,Power Forward,4969080
Mohamed Bamba,Center,4865040
Willie Cauley-Stein,Center,4696875
Dragan Bender,Power Forward,4661280
Lauri Markkanen,Power Forward,4536120
Kyle O'Quinn,Center,4449000
Ed Davis,Power Forward,4449000
Lance Stephenson,Shooting Guard,4449000
Wendell Carter Jr.,Power Forward,4441200
Justin Holiday,Shooting Guard,4384615
Alex Len,Center,4350000
Mike Scott,Power Forward,4320500
Emmanuel Mudiay,Point Guard,4294480
Kris Dunn,Point Guard,4221000
Frank Ntilikina,Point Guard,4155720
Glenn Robinson III,Shooting Guard,4075000
Collin Sexton,Point Guard,4068600
Stanley Johnson,Small Forward,3940402
Buddy Hield,Shooting Guard,3833760
Dennis Smith Jr.,Point Guard,3819960
Kevin Knox,Small Forward,3739920
Jose Barea,Point Guard,3710850
Nene Hilario,Center,3651480
Zach Collins,Center,3628920
Frank Kaminsky,Power Forward,3627842
Mikal Bridges,Small Forward,3552960
Jamal Murray,Point Guard,3499800
Rodney Hood,Shooting Guard,3472887
Justise Winslow,Small Forward,3448926
Malik Monk,Shooting Guard,3447480
Myles Turner,Center,3410284
Allonzo Trier,Shooting Guard,3382000
Brook Lopez,Center,3382000
Shai Gilgeous-Alexander,Point Guard,3375360
Trey Lyles,Power Forward,3364249
Ekpe Udoh,Center,3360000
Devin Booker,Shooting Guard,3314365
Luke Kennard,Shooting Guard,3275280
Troy Daniels,Shooting Guard,3258549
Kelly Oubre Jr.,Small Forward,3208630
Miles Bridges,Small Forward,3206640
Marquese Chriss,Power Forward,3206160
Tomas Satoransky,Shooting Guard,3129187
Bryn Forbes,Shooting Guard,3125000
Donovan Mitchell,Shooting Guard,3111480
Terry Rozier,Point Guard,3050390
Jerome Robinson,Shooting Guard,3046200
Yogi Ferrell,Point Guard,3000000
Elfrid Payton,Point Guard,3000000
Edrice Adebayo,Center,2955840
Jakob Poeltl,Center,2947320
Michael Porter Jr.,Power Forward,2894160
Justin Jackson,Small Forward,2807880
Thon Maker,Center,2799720
Seth Curry,Shooting Guard,2795000
Cedi Osman,Small Forward,2775000
Sam Dekker,Small Forward,2760095
Troy Brown Jr.,Small Forward,2749080
Guerschon Yabusele,Power Forward,2667600
Domantas Sabonis,Center,2659800
Jerian Grant,Point Guard,2639314
Zhaire Smith,Shooting Guard,2611800
Delon Wright,Point Guard,2536898
DJ Wilson,Power Forward,2534280
Taurean Prince,Small Forward,2526840
Dario Saric,Power Forward,2526840
Justin Anderson,Shooting Guard,2516048
Reggie Bullock,Shooting Guard,2500000
Bobby Portis,Power Forward,2494346
Dante Cunningham,Power Forward,2487000
Donte DiVincenzo,Shooting Guard,2481000
Rondae Hollis-Jefferson,Small Forward,2470357
Tyus Jones,Point Guard,2444053
Jarell Martin,Power Forward,2416222
TJ Leaf,Power Forward,2407560
Jeff Green,Small Forward,2393887
Gerald Green,Shooting Guard,2393887
Raymond Felton,Point Guard,2393887
Vince Carter,Shooting Guard,2393887
Amir Johnson,Center,2393887
JaVale McGee,Center,2393887
Jamal Crawford,Shooting Guard,2393887
Channing Frye,Power Forward,2393887
Udonis Haslem,Power Forward,2393887
Dwyane Wade,Shooting Guard,2393887
Devin Harris,Point Guard,2393887
Luol Deng,Small Forward,2393887
Derrick Rose,Point Guard,2393887
Jose Calderon,Point Guard,2393887
Zaza Pachulia,Center,2393887
Wayne Ellington,Shooting Guard,2383076
Lonnie Walker IV,Shooting Guard,2357160
John Collins,Power Forward,2299080
Denzel Valentine,Shooting Guard,2280600
Larry Nance Jr.,Power Forward,2272391
Kevin Huerter,Shooting Guard,2250960
Harry Giles,Power Forward,2207040
Darius Miller,Small Forward,2205000
Jonas Jerebko,Power Forward,2176260
Juan Hernangomez,Power Forward,2166360
Quincy Pondexter,Shooting Guard,2165481
Josh Okogie,Shooting Guard,2160720
Terrance Ferguson,Shooting Guard,2118840
Tyson Chandler,Center,2109867
Raul Neto,Point Guard,2100000
Grayson Allen,Shooting Guard,2074320
Jarrett Allen,Center,2034120
Shelvin Mack,Point Guard,2029463
Isaiah Thomas,Point Guard,2029463
Corey Brewer,Shooting Guard,2000000
Torrey Craig,Small Forward,2000000
Chandler Hutchison,Small Forward,1991520
Ante Zizic,Center,1952760
OG Anunoby,Small Forward,1952760
Shabazz Napier,Point Guard,1942422
Aaron Holiday,Point Guard,1911960
Tyler Lydon,Power Forward,1874640
Anfernee Simons,Shooting Guard,1835520
Trey Burke,Point Guard,1795015
Malik Beasley,Shooting Guard,1773840
Moritz Wagner,Power Forward,1762080
Nerlens Noel,Center,1757429
Ian Clark,Shooting Guard,1757429
Furkan Korkmaz,Shooting Guard,1740000
Caleb Swanigan,Power Forward,1740000
Joakim Noah,Center,1731173
Landry Shamet,Point Guard,1703640
Caris LeVert,Shooting Guard,1702800
Jonah Bolden,Small Forward,1690000
Kyle Kuzma,Power Forward,1689840
Tony Bradley,Center,1679520
Derrick White,Point Guard,1667160
Spencer Dinwiddie,Point Guard,1656092
Josh Hart,Shooting Guard,1655160
Robert Williams,Power Forward,1654440
Jacob Evans,Small Forward,1644240
Pat Connaughton,Shooting Guard,1641000
DeAndre' Bembry,Small Forward,1634640
Dzanan Musa,Shooting Guard,1632240
Noah Vonleh,Power Forward,1621415
James Ennis,Small Forward,1621415
Omari Spellman,Power Forward,1620480
Luke Kornet,Power Forward,1619260
Rodions Kurucs,Small Forward,1618320
T.J. McConnell,Point Guard,1600520
Richaun Holmes,Power Forward,1600520
Jahlil Okafor,Center,1567007
Kevon Looney,Small Forward,1567007
Rodney McGruder,Shooting Guard,1544951
Ivica Zubac,Center,1544951
Willy Hernangomez,Center,1544951
Timothe Luwawu-Cabarrot,Shooting Guard,1544951
Wayne Selden,Shooting Guard,1544951
Skal Labissiere,Power Forward,1544951
Jake Layman,Small Forward,1544951
Dorian Finney-Smith,Small Forward,1544951
Malcolm Brogdon,Point Guard,1544951
Dejounte Murray,Point Guard,1544951
Pascal Siakam,Power Forward,1544951
Cheick Diallo,Power Forward,1544951
Quinn Cook,Point Guard,1544951
Damian Jones,Center,1544951
Treveon Graham,Shooting Guard,1512601
David Nwaba,Shooting Guard,1512601
Derrick Jones Jr.,Small Forward,1512601
Christian Wood,Power Forward,1512601
Georges Niang,Small Forward,1512601
Sviatoslav Mykhailiuk,Shooting Guard,1487694
Mitchell Robinson,Center,1485440
Thomas Bryant,Center,1378242
Damyean Dotson,Shooting Guard,1378242
Abdel Nader,Small Forward,1378242
Khem Birch,Center,1378242
Wesley Iwundu,Small Forward,1378242
Semi Ojeleye,Power Forward,1378242
Daniel Theis,Power Forward,1378242
Sindarius Thornwell,Shooting Guard,1378242
Dwayne Bacon,Small Forward,1378242
Dillon Brooks,Small Forward,1378242
Tyler Dorsey,Shooting Guard,1378242
Ivan Rabb,Power Forward,1378242
Frank Mason,Point Guard,1378242
Maxi Kleber,Power Forward,1378242
Sterling Brown,Shooting Guard,1378242
Frank Jackson,Point Guard,1378242
Royce O'Neale,Small Forward,1378242
Jordan Bell,Center,1378242
Tyrone Wallace,Shooting Guard,1349383
Ryan Arcidiacono,Point Guard,1349383
Antonio Blakeney,Shooting Guard,1349383
Monte Morris,Point Guard,1349383
Alfonzo McKinnie,Power Forward,1349383
Shaquille Harrison,Point Guard,1311264
Élie Okobo,Point Guard,1238464
Jalen Brunson,Point Guard,1230000
Austin Rivers,Shooting Guard,1155323
Melvin Frazier,Small Forward,1050000
Isaac Bonga,Point Guard,1000000
Devonte' Graham,Point Guard,988464
De'Anthony Melton,Point Guard,949000
Kenneth Faried,Power Forward,917272
Chasson Randle,Point Guard,869094
Isaiah Hartenstein,Power Forward,838464
Hamidou Diallo,Shooting Guard,838464
Alize Johnson,Power Forward,838464
Brad Wanamaker,Point Guard,838464
Jevon Carter,Point Guard,838464
Gary Trent Jr.,Shooting Guard,838464
Ryan Broekhoff,Small Forward,838464
Chimezie Metu,Power Forward,838464
Jarred Vanderbilt,Power Forward,838464
Keita Bates-Diop,Small Forward,838464
Bruce Brown,Shooting Guard,838464
Khyri Thomas,Shooting Guard,838464
Kenrich Williams,Small Forward,838464
Patrick McCaw,Shooting Guard,786211
Wesley Matthews,Shooting Guard,737715
Jeremy Lin,Point Guard,697358
Enes Kanter,Center,653556
